Country,Continent,CIA_Def,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan                        ,Asia,Developing,"12,122,740","12,430,623","12,749,385","13,079,460","13,421,301","13,772,076","14,132,019","14,501,369","14,880,372","15,269,281","15,555,612","15,112,149","13,812,973","12,881,816","12,934,937","13,387,737","13,796,928","13,856,100","13,867,957","14,076,478","14,511,868","14,669,339","14,871,963","16,317,921","18,371,583","19,900,668","20,881,480","21,559,923","22,227,415","22,912,814","23,646,128","23,898,198","23,997,412","25,268,405","27,060,359","28,513,677","29,928,987","31,056,997","31,889,923","32,738,376"
Albania                            ,Europe,Transition,"2,100,263","2,156,612","2,208,719","2,263,554","2,295,691","2,347,924","2,401,108","2,454,824","2,509,048","2,563,376","2,617,679","2,671,412","2,724,272","2,780,097","2,837,315","2,895,998","2,956,697","3,015,438","3,075,321","3,136,843","3,195,800","3,250,778","3,294,227","3,326,498","3,351,656","3,378,424","3,400,516","3,414,733","3,428,038","3,441,234","3,457,493","3,473,835","3,490,304","3,508,512","3,526,642","3,544,808","3,563,112","3,581,655","3,600,523","3,619,778"
Algeria                            ,Africa,Developing,"13,528,304","13,931,846","14,335,388","14,760,787","15,197,724","15,653,200","16,140,252","16,634,618","17,152,804","17,685,768","18,229,932","18,806,061","19,407,036","20,033,753","20,680,982","21,340,546","22,008,450","22,642,538","23,254,956","23,880,766","24,496,305","25,089,032","25,687,078","26,298,450","26,916,442","27,521,476","28,089,149","28,604,044","29,083,564","29,535,576","29,979,816","30,429,227","30,874,307","31,312,479","31,740,897","32,157,666","32,560,735","32,959,251","33,362,742","33,769,669"
American Samoa                     ,Oceana,Developing,"30,400","27,267","27,731","28,202","28,612","29,057","29,640","30,272","30,839","31,411","31,964","32,418","33,595","34,706","35,838","37,092","38,633","40,164","41,876","43,623","45,384","47,199","48,569","49,954","51,382","52,733","53,906","54,959","55,967","56,930","57,847","57,771","58,741","59,635","60,500","61,462","62,399","63,217","64,025","64,827"
Andorra                            ,Europe,Developed,"18,233","19,545","20,550","21,425","23,092","24,807","26,558","28,500","29,396","30,321","31,274","33,584","37,825","39,940","41,627","42,712","44,596","46,476","47,671","49,365","50,516","52,747","56,475","59,722","62,559","63,826","63,245","63,358","64,053","64,728","65,073","65,099","65,316","65,986","68,782","73,247","76,122","78,294","80,757","82,627"
Angola                             ,Africa,Developing,"5,471,641","5,605,626","5,752,957","5,895,212","6,026,363","5,987,492","5,885,455","5,943,466","6,163,714","6,287,180","6,452,546","6,743,080","6,879,574","7,018,526","7,240,535","7,442,448","7,584,709","7,748,632","7,878,396","8,023,390","8,153,844","8,296,606","8,496,810","8,741,838","8,966,258","9,172,280","9,419,124","9,650,607","9,855,579","10,039,174","10,215,443","10,377,267","10,538,387","10,760,510","11,057,090","11,391,126","11,706,954","11,992,807","12,263,596","12,531,357"
Anguilla                           ,NorthAmerica,Developing,"6,041","6,100","6,208","6,318","6,430","6,269","6,309","6,350","6,390","6,431","6,473","6,515","6,557","6,599","6,642","6,688","6,967","7,246","7,533","7,820","8,113","8,411","8,702","8,977","9,248","9,541","9,845","10,138","10,438","10,754","11,079","11,426","11,774","12,113","12,448","12,782","13,116","13,448","13,779","14,108"
Antigua and Barbuda                ,NorthAmerica,Developing,"64,475","65,624","66,354","67,016","67,532","67,836","68,041","68,361","68,637","68,608","68,519","68,546","68,264","68,008","65,620","64,470","64,398","64,402","64,418","64,427","64,385","64,162","64,025","65,181","66,331","67,485","68,710","70,055","71,453","72,781","74,016","75,351","76,734","77,935","79,066","80,193","81,277","82,343","83,425","84,522"
Argentina                          ,SouthAmerica,Developing,"23,600,026","23,962,313","24,363,816","24,779,799","25,209,829","25,646,371","26,081,880","26,531,280","26,983,828","27,440,272","27,901,971","28,369,799","28,848,055","29,329,880","29,793,552","30,230,644","30,671,759","31,144,993","31,624,620","32,099,320","32,571,624","33,035,578","33,504,409","33,966,849","34,407,154","34,846,891","35,273,844","35,682,960","36,102,160","36,517,919","36,923,417","37,335,653","37,694,169","37,999,450","38,336,881","38,741,833","39,181,261","39,614,434","40,048,816","40,481,998"
Armenia                            ,Asia,Transition,"2,463,153","2,519,745","2,581,671","2,647,035","2,712,997","2,776,539","2,834,136","2,892,704","2,954,907","3,014,042","3,066,726","3,115,289","3,166,098","3,218,691","3,270,153","3,322,394","3,373,532","3,421,978","3,468,857","3,515,614","3,325,992","3,376,783","3,437,479","3,378,331","3,231,570","3,126,094","3,068,751","3,063,395","3,059,000","3,049,147","3,047,620","3,042,556","3,027,590","3,013,818","3,001,712","2,991,360","2,982,904","2,976,372","2,971,650","2,968,586"
